busca,titulo,empresa,local,publicado_ha,salario
analista de dados sênior,Analista de Planejamento Financeiro- SR,Vagas Banco Sofisa,"São Paulo, São Paulo",26 dia(s),Não informado
analista de dados sênior,Analista de Dados Sênior | Planejamento PJ [Vaga afirmativa para Pessoas com Deficiência],PicPay,"São Paulo, São Paulo",26 dia(s),Não informado
analista de dados sênior,PESSOA ANALISTA ADMINISTRATIVO SÊNIOR,MCA AUDITORIA E GERENCIAMENTO LTDA,Parauapebas,mais de 30 dias,Não informado
analista de dados sênior,Analista de Compras Sr,Cinpal,Taboão da Serra,14 dia(s),Não informado
analista de dados sênior,Analista de Políticas de Cobrança Sênior | Estratégia de Cobrança,C6 Bank,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Processos Sr,ADITEK DO BRASIL LTDA,Cravinhos,mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE TRANSPORTE SR,CRISTALCOPO S/A,"Criciúma, Santa Catarina",24 dia(s),Não informado
analista de dados sênior,Analista de Controladoria,RANDSTAD - Filial Curitiba PR,Fazenda Rio Grande,mais de 30 dias,Não informado
analista de dados sênior,[ANATEL] Analista Sênior Python,First Decision,Trabalho remoto,19 dia(s),Não informado
analista de dados sênior,Analista de Negócios Tasy SR,SYSMAP,"São Paulo, São Paulo",24 dia(s),Não informado
analista de dados sênior,Analista de Comunicação Sênior (Vaga Afirmativa),Eletromidia,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista Controle de Qualidade Sr.,Oportunidades Grupo Althaia,Atibaia,12 dia(s),Não informado
analista de dados sênior,Analista de testes sr - rha2983,Netvagas,Trabalho remoto,2 dia(s),Não informado
analista de dados sênior,Analista Contábil de Crédito Sênior,Safra,"São Paulo, São Paulo",19 dia(s),Não informado
analista de dados sênior,ANALISTA DE PRODUTO SENIOR,Banco BBC Digital,"São Paulo, São Paulo",30 dia(s),Não informado
analista de dados sênior,Analista Contabil Senior,GRUPO OURHO CONNECTA,Caçapava,mais de 30 dias,Não informado
analista de dados sênior,Analista de BKO Sr,LIFETIME - AGENTES AUTONOMOS DE INVESTIMENTOS LTDA.,"São Paulo, São Paulo",19 dia(s),Não informado
analista de dados sênior,Analista de Carteira de Crédito Sênior,meutudo,"Fortaleza, Ceará",6 dia(s),Não informado
analista de dados sênior,Analista de CRM II (CAMPANHAS),Grupo DPSP – Drogarias Pacheco São Paulo,"São Paulo, São Paulo",10 dia(s),Não informado
analista de dados sênior,Analista de Sistemas Senior SAP MM,Aché Laboratórios Farmacêuticos,Guarulhos,4 dia(s),Não informado
analista de dados sênior,Analista de Sistemas Sênior,DB - DIAGNÓSTICOS DO BRASIL,São José dos Pinhais,12 dia(s),Não informado
analista de dados sênior,Analista Sênior de Gestão de Acessos,Ultracargo,"São Paulo, São Paulo",6 dia(s),Não informado
analista de dados sênior,Analista Projetos Sociais SR,De Beers Group of Companies,Conceição do Mato Dentro,5 dia(s),Não informado
analista de dados sênior,LWSA | Analista de Comunicação Sênior | Híbrido,LWSA,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE LABORATÓRIO DE DESENVOLVIMENTO SR,Caldic LATAM,Guarulhos,mais de 30 dias,Não informado
analista de dados sênior,Analista de Controladoria Sênior,Housi,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Compliance JR,+Compliance,Curitiba,mais de 30 dias,Não informado
analista de dados sênior,Analista Sênior de Mídia e Performance,PLAND TECNOLOGIA LTDA,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista Infraestrutura DevOps Sr.,Pantheon,Trabalho remoto,25 dia(s),Não informado
analista de dados sênior,Analista de Relacionamento com o Investidor Sênior,Housi,"São Paulo, São Paulo",10 dia(s),Não informado
analista de dados sênior,569B: Analista de Sistemas SR,mazzatech,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Marketing Sr,Docol Metais Sanitários LTDA,Joinville,24 dia(s),Não informado
analista de dados sênior,ANALISTA DE PREVENÇÃO A FRAUDE SR,Leo Madeiras,Barueri,mais de 30 dias,Não informado
analista de dados sênior,Analista de Suporte Técnico Sênior [sistemas],idwall,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,"Analista Sênior de Privacidade e Proteção de Dados | Trabalho Híbrido | Vaga afirmativa para Pessoas Pretas e Pardas, LGBTIA+, PCD e Gerações",CCEE,"São Paulo, São Paulo",12 dia(s),Não informado
analista de dados sênior,Analista de Atendimento ao Cliente Sr.,Kemin,"Valinhos, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Processos Sênior,Porto,"São Paulo, São Paulo",5 dia(s),Não informado
analista de dados sênior,Analista de Banco de Dados Sênior.,Grupo Açotubo,Guarulhos,27 dia(s),Não informado
analista de dados sênior,Analista de Supply Chain Sr,Cinpal,Taboão da Serra,14 dia(s),Não informado
analista de dados sênior,Analista de Dados de Cadeias Sustentáveis Sênior | Prazo Determinado,Natura,"São Paulo, São Paulo",21 dia(s),Não informado
analista de dados sênior,ANALISTA DE DESENVOLVIMENTO SR,NOVA CASA DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO S/A,"Brasília, Distrito Federal",mais de 30 dias,Não informado
analista de dados sênior,Analista de Qualidade Funcional - Sênior,Sinqia,"São Paulo, São Paulo",2 dia(s),Não informado
analista de dados sênior,Analista Senior de PCM,Schneider Electric,Blumenau,mais de 30 dias,Não informado
analista de dados sênior,Analista de Sustentação - Sistema Função - Sênior,Digio,Trabalho remoto,mais de 30 dias,Não informado
analista de dados sênior,Analista de Sistemas Tasy,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE CURITIBA,Curitiba,mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE RISCO SENIOR,BANCO PAULISTA S.A.,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE CX SÊNIOR - Melhoria Contínua,Alloha Fibra,"São Paulo, São Paulo",9 dia(s),Não informado
analista de dados sênior,ANALISTA DE INTELIGENCIA DE MERCADO JR,QUBIT DISTRIBUIDORA DE COSMETICOS LTDA,Barueri,mais de 30 dias,Não informado
analista de dados sênior,Analista de Sistemas,Keep Talent,Blumenau,2 dia(s),Não informado
analista de dados sênior,"Analista Sênior de Treinamento e Desenvolvimento""",DiDi Global,"São Paulo, São Paulo",28 dia(s),Não informado
analista de dados sênior,Analista de Projetos de Sistemas : Presencial/Remoto Recife/PE e Rio de Janeiro/RJ,Source2IT,Barueri,mais de 30 dias,Não informado
analista de dados sênior,Analista de Geração Distribuída (GD) SR,LUZ,"São Paulo, São Paulo",12 dia(s),Não informado
analista de dados sênior,Analista de Departamento Pessoal,Transmartins,"Belo Horizonte, Minas Gerais",20 dia(s),Não informado
analista de dados sênior,Especialista em Análise de Folha de Pagamento-Analista de Payrrol,SUPERINTENDENCIA NACIONAL DA CNEC,"Brasília, Distrito Federal",mais de 30 dias,Não informado
analista de dados sênior,Analista Sr Planejamento Corporativo,RD Saúde,"São Paulo, São Paulo",27 dia(s),Não informado
analista de dados sênior,Analista de Pricing Sr.,TALENTFLIX SOLUCOES LTDA,"São Paulo, São Paulo",19 dia(s),Não informado
analista de dados sênior,ANALISTA DE DATA SCIENCE SENIOR,Dotz,"São Paulo, São Paulo",13 dia(s),Não informado
analista de dados sênior,Analista de Sistemas Sênior | Java,Riachuelo,Trabalho remoto,20 dia(s),Não informado
analista de dados sênior,Analista de Planejamento e Suporte Comercial Sênior,Talentos 360º Consultoria,Barueri,mais de 30 dias,Não informado
analista de dados sênior,Analista de Controladoria,Apex Partners,"Vitória, Espírito Santo",5 dia(s),Não informado
analista de dados sênior,Analista de Inteligência de Mercado Sênior,Smurfit Westrock Brasil,"São Paulo, São Paulo",24h,Não informado
analista de dados sênior,Analista de Dados Sênior,Rede Américas,"São Paulo, São Paulo",17 dia(s),Não informado
analista de dados sênior,Analista de Banco de Dados Sênior,Service Informatica Ltda,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE CONFORMIDADE SÊNIOR,SIMPAR,Mogi das Cruzes,10 dia(s),Não informado
analista de dados sênior,Analista Financeiro Sênior (RJ/SP),Bernhoeft,Trabalho remoto,2 dia(s),Não informado
analista de dados sênior,Analista de Serviços SR,TOTVS,"Belo Horizonte, Minas Gerais",23 dia(s),Não informado
analista de dados sênior,Analista de Dados Sênior | Business Development,Shopee,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Desenvolvimento Comercial Sênior,Cielo,Barueri,3 dia(s),Não informado
analista de dados sênior,"Pessoa Analista de Projetos / Customer Success SR (foco em Serviços de martech, dados e estratégia para CRM)",match.mt,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista Calibração de Motores - Pleno/Senior,LUZA Group,Betim,26 dia(s),Não informado
analista de dados sênior,Analista de Cartografia SR,Minerva Foods,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Sustentação Sênior,Sinqia,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE ENGENHARIA SÊNIOR (PLR + Refeição + Transporte) - Distrito Industrial I,Jobbol,"Manaus, Amazonas",19 dia(s),Não informado
analista de dados sênior,Analista de Retail Media Sr,TENDA ATACADO,Guarulhos,18 dia(s),Não informado
analista de dados sênior,Analista de Business Intelligence Senior,Grendene,Farroupilha,mais de 30 dias,Não informado
analista de dados sênior,Analista de Negócios Sênior,Bridge & Co.,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado
analista de dados sênior,Analista Contábil Senior,rsg,"São Paulo, São Paulo",13 dia(s),Não informado
analista de dados sênior,Analista de Trade Marketing SR,AmPm Comestíveis,"São Paulo, São Paulo",19 dia(s),Não informado
analista de dados sênior,ANALISTA DE SUPRIMENTOS SENIOR | TORRE DE CONTROLE | LOGÍSTICA,Venha construir o futuro com a gente!,"Belo Horizonte, Minas Gerais",4 dia(s),Não informado
analista de dados sênior,Analista de Marketing (Pleno ou Sênior) & Soluções de Saúde,Pfizer,"São Paulo, São Paulo",5 dia(s),Não informado
analista de dados sênior,Analista de Growth Sênior,Skyone,"São Paulo, São Paulo",7 dia(s),Não informado
analista de dados sênior,Analista TI,GRH GROUP LTDA,"Sorocaba, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Controladoria Sênior,SUPERMERCADOS MAMBO,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE DESENVOLVIMENTO ORGANIZACIONAL SÊNIOR,Granado - Desde 1870,"Rio de Janeiro, Rio de Janeiro",21 dia(s),Não informado
analista de dados sênior,ANALISTA DE MARKETING SR,Aron,Avaré,mais de 30 dias,Não informado
analista de dados sênior,Grupo Tristão - Analista de Cultura e Desenvolvimento Humano Sênior,GRUPO TRISTÃO,"Viana, Espírito Santo",24h,Não informado
analista de dados sênior,SEDE SP - Analista de Projetos SR,dnata Brasil- Vagas Disponíveis,"São Paulo, São Paulo",3 dia(s),Não informado
analista de dados sênior,Analista de Mídia Paga Sênior,Cobli,"São Paulo, São Paulo",27 dia(s),Não informado
analista de dados sênior,Analista Recursos Humanos Sr | Senior Associate,PwC,Barueri,17 dia(s),Não informado
analista de dados sênior,Analista de Sistemas Sênior,GAFOR,"São Paulo, São Paulo",6 dia(s),Não informado
analista de dados sênior,Analista de dados crédito sr | engenheiro agrônomo,Netvagas,"São Paulo, São Paulo",10 dia(s),Não informado
analista de dados sênior,ANALISTA FINANCEIRO/ CONTROLADORIA SÊNIOR,Future Rh,"Ponta Grossa, Paraná",4 dia(s),Não informado
analista de dados sênior,Analista Sênior de Marketing e Conteúdo,Kalendae,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE COMPOSIÇÃO DE CUSTO SÊNIOR,M PINHEIRO CONSTRUÇÕES E SERVIÇOS LTDA,"Salvador, Bahia",21 dia(s),Não informado
analista de dados sênior,Analista de Soluções Sênior | Imagem Geosistemas | Squad Rec. Nat.,Imagem Geosistemas,Trabalho remoto,20 dia(s),Não informado
analista de dados sênior,Pessoa Analista de Qualidade de Software Funcional/Automação | Pleno,DQR Tech,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Desenvolvimento Organizacional Sênior,Midea Carrier,"São Paulo, São Paulo",18 dia(s),Não informado
analista de dados sênior,Analista de Relações Sindicais III,Grupo DPSP – Drogarias Pacheco São Paulo,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Pessoa Analista de Integração Sênior,Datum,Trabalho remoto,6 dia(s),Não informado
analista de dados sênior,Analista de Marketing Sênior,Porto,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Inteligência de Negócios Sênior,Start RH,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Planejamento Financeiro SR ( BPO),Green Conecta,"São Paulo, São Paulo",17 dia(s),Não informado
analista de dados sênior,Analista de Negócios/PO Sênior,Triad Integration,"São Paulo, São Paulo",14 dia(s),Não informado
analista de dados sênior,Analista de Negócios Senior | B2B,NIO,"São Paulo, São Paulo",30 dia(s),Não informado
analista de dados sênior,Analista Sr de Assuntos Regulatórios,AbbVie,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE GOVERNANÇA DE TI SÊNIOR (PROCESSOS),Grupo DPSP – Drogarias Pacheco São Paulo,"São Paulo, São Paulo",4 dia(s),Não informado
analista de dados sênior,ANALISTA DE DADOS DE RH SÊNIOR,SIMPAR,Mogi das Cruzes,mais de 30 dias,Não informado
analista de dados sênior,Analista de Estoque,Nordtech,"Navegantes, Santa Catarina",mais de 30 dias,Não informado
analista de dados sênior,ANALISTA PLANEJAMENTO FINANCEIRO SR - OPERAÇÕES FLORESTAIS,Suzano,"Imperatriz, Maranhão",3 dia(s),Não informado
analista de dados sênior,Analista Financeiro de Contas a Receber Sênior,Petronius Solution / VNOVA,"Belo Horizonte, Minas Gerais",19 dia(s),Não informado
analista de dados sênior,Analista de Desenvolvimento Sênior - Asa Norte - Brasília (DF) - Presencial,LIBERTY COMERCIO E SERVICOS LTDA,"Brasília, Distrito Federal",mais de 30 dias,Não informado
analista de dados sênior,Analista de Treinamento e Desenvolvimento Sênior,MasterSense,Jundiaí,25 dia(s),Não informado
analista de dados sênior,Analista de Cadastro Sênior,Assaí Atacadista - O atacadista com 50 anos de tradição! #VemserAssaí,"São Paulo, São Paulo",24 dia(s),Não informado
analista de dados sênior,Analista de Dados Sênior - Jardim Paulista (542275),GPA,"São Paulo, São Paulo",21 dia(s),Não informado
analista de dados sênior,iFood Pago - Analista de PLD Sênior,iFood,Osasco,mais de 30 dias,Não informado
analista de dados sênior,Analista de Banco de Dados Sênior,Vem Pra Vivo,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Politicas de Recuperação de Crédito SR. - Analytics,Itaú Unibanco,"São Paulo, São Paulo",19 dia(s),Não informado
analista de dados sênior,Analista de Finanças Sênior,meutudo,"Fortaleza, Ceará",4 dia(s),Não informado
analista de dados sênior,Especialista de Operações,Versa Fuel,"São Paulo, São Paulo",24h,Não informado
analista de dados sênior,Analista de Logística Sênior,Timbro Trading,"São Paulo, São Paulo",19 dia(s),Não informado
analista de dados sênior,Analista de Sinistro Sênior - RCO,KOVR,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista Desenvolvimento Fullstack Pl/Sr (ISP),Bemobi,Trabalho remoto,14 dia(s),Não informado
analista de dados sênior,Pessoa Analista de Dados - Sênior,RARO RECRUTAMENTO EM TI LTDA.,"Belo Horizonte, Minas Gerais",mais de 30 dias,Não informado
analista de dados sênior,Analista Administrativo,Senior Sistemas,Blumenau,4 dia(s),Não informado
analista de dados sênior,Analista de Projetos Sênior,AFIP - Associação Fundo de Incentivo à Pesquisa,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de UX Sênior,Riachuelo,"São Paulo, São Paulo",17 dia(s),Não informado
analista de dados sênior,Analista de Planejamento de Materiais Sênior - Copel - Companhia Paranaense de Energia.,Copel - Pura Energia,Curitiba,20 dia(s),Não informado
analista de dados sênior,Analista de Planejamento e Controle Senior,HM Engenharia,"Campinas, São Paulo",6 dia(s),Não informado
analista de dados sênior,Analista de Controladoria Sênior,GROUP D&A ASSESSORIA LTDA,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista Sênior de Sucesso do Cliente,Thomson Reuters,"Rio de Janeiro, Rio de Janeiro",4 dia(s),Não informado
analista de dados sênior,ANALISTA DE COMÉRCIO EXTERIOR SÊNIOR - Paulínia/SP,EuroChem,Paulínia,24h,Não informado
analista de dados sênior,ANALISTA DE TREINAMENTO SR,Michelin,Barueri,mais de 30 dias,Não informado
analista de dados sênior,Analista UX/UI PL/SR,Frete Rápido,Trabalho remoto,12 dia(s),Não informado
analista de dados sênior,Copywriter Sênior,Clicksign,Trabalho remoto,20 dia(s),Não informado
analista de dados sênior,Analista de CRM Sênior,Reclame AQUI,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Cybersecurity Sr – Vaga Afirmativa para Mulheres,Banco Bradesco SA,Osasco,13 dia(s),Não informado
analista de dados sênior,ANALISTA LOGÍSTICA SR. - HOME OFFICER EM - - 75614,Divulga Vagas Consultoria,Itu,3 dia(s),Não informado
analista de dados sênior,Analista de Desenvolvimento de Software Sênior,Vsoft,Trabalho remoto,12 dia(s),Não informado
analista de dados sênior,Analista User Experience SR,Banco Bradesco SA,Osasco,7 dia(s),Não informado
analista de dados sênior,ANALISTA PLANEJAMENTO GENTE SÊNIOR,Bernoulli Educação,Trabalho remoto,mais de 30 dias,Não informado
analista de dados sênior,Analista de Negócios SR | Operações PF,PicPay,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE DADOS SENIOR,Universidade Cruzeiro do Sul,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista Sênior de Cobrança (Dados),GM Financial,"São Paulo, São Paulo",21 dia(s),Não informado
analista de dados sênior,Analista de Regularização de Patrimônios Sênior (Campo),Accenture,Parauapebas,mais de 30 dias,Não informado
analista de dados sênior,iFood Pago - Analista de Data Analytics - PLD/CFT Sr.,iFood,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE OPERACÕES LOGÍSTICAS SR,MCassab Distribuição,Jarinu,20 dia(s),Não informado
analista de dados sênior,ANALISTA DE GOVERNAÇA DE TI SR,Bauducco,Guarulhos,20 dia(s),Não informado
analista de dados sênior,Analista de Mídia Sênior - (Google & Meta Ads),LOJA SANTO ANTONIO,"São Paulo, São Paulo",19 dia(s),Não informado
analista de dados sênior,Analista de Logística Sênior,JWM Soluções Logísticas,Guarulhos,4 dia(s),Não informado
analista de dados sênior,Analista de Planejamento Sênior,AM PEOPLE RH,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Dados Sênior,Kalendae,"Belo Horizonte, Minas Gerais",25 dia(s),Não informado
analista de dados sênior,Analista de CRM Senior,donaldbet,"São Paulo, São Paulo",25 dia(s),Não informado
analista de dados sênior,Analista de Processos RPA Sr,"MTTECHNE GESTÃO, SOLUÇÕES EM TI","São Paulo, São Paulo",2 dia(s),Não informado
analista de dados sênior,Analista de Cultura e Performance,Zerezes,"Rio de Janeiro, Rio de Janeiro",6 dia(s),Não informado
analista de dados sênior,Especialista Sênior de CRM - Hubspot,Azos,Trabalho remoto,14 dia(s),Não informado
analista de dados sênior,Analista de Planejamento Sênior,Alloha Fibra,"São Paulo, São Paulo",18 dia(s),Não informado
analista de dados sênior,ANALISTA DE E-COMMERCE SÊNIOR,FIBRA RH,"São José do Rio Preto, São Paulo",19 dia(s),Não informado
analista de dados sênior,Analista de Marketing de Performance Sênior,Conexia,Ribeirão Preto,25 dia(s),Não informado
analista de dados sênior,Analista de Qualidade Sênior,Ultracargo,"São Luís, Maranhão",mais de 30 dias,Não informado
analista de dados sênior,Analista de Fidelidade Sênior,Pride Recruiter - HR,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Prevenção a Fraude | Analista de Prevenção à Fraude Sênior,DM,"São José dos Campos, São Paulo",2 dia(s),Não informado
analista de dados sênior,Cia Hering | Analista de Melhoria Contínua III,Cia Hering,"São Paulo, São Paulo",4 dia(s),Não informado
analista de dados sênior,ANALISTA DE INFORMAÇÕE GERENCIAIS - SÊNIOR - FP&A | BELO HORIZONTE/MG,Localiza&Co,"Belo Horizonte, Minas Gerais",7 dia(s),Não informado
analista de dados sênior,Analista Senior de Pricing & Inteligência de Mercado,Yara,"São Paulo, São Paulo",10 dia(s),Não informado
analista de dados sênior,Analista de Business Intelligence (BI),GRUPO MÔNACO,Ananindeua,26 dia(s),Não informado
analista de dados sênior,Analista de Marketing Sr - Seara,JBS,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Alianças Financeiras Sênior,Despegar,Alphaville,mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE SUCESSO DO CLIENTE- CS,MAX.IA EDUCATION S.A,"Manaus, Amazonas",mais de 30 dias,Não informado
analista de dados sênior,Analista de Suprimentos Sr. - Foco em Dados,Ipiranga,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado
analista de dados sênior,Analista de Marketing,Senior Sistemas,Blumenau,17 dia(s),Não informado
analista de dados sênior,Analista de Sistemas ERP,ARO CONTABIL LTDA,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado
analista de dados sênior,Analista de Sistemas - Junior,Copapel,Joinville,16 dia(s),Não informado
analista de dados sênior,Analista de Inteligência de Dados Sênior (Crédito),Corporativo Grupo Casas Bahia,"São Paulo, São Paulo",3 dia(s),Não informado
analista de dados sênior,Analista de Sistemas da Informação Sênior,SP CAPITAL SERVICOS DE COBRANCAS E CADASTROS LTDA.,"Itapema, Santa Catarina",mais de 30 dias,Não informado
analista de dados sênior,Analista Sr Planejamento Corporativo,RD Saúde,"São Paulo, São Paulo",27 dia(s),Não informado
analista de dados sênior,Analista de Planejamento SR,TEL Contact Center,"Salvador, Bahia",mais de 30 dias,Não informado
analista de dados sênior,Analista de Tesouraria SR,Dufrio,Porto Alegre,11 dia(s),Não informado
analista de dados sênior,Analista de Operações Logística Site SR,FS Fueling Sustainability,Sorriso,28 dia(s),Não informado
analista de dados sênior,Analista Contábil Sênior,iFood,Osasco,14 dia(s),Não informado
analista de dados sênior,SENIOR SECURITY ANALYST (Gestão de Vulnerabilidades),CSU Digital,Barueri,18 dia(s),Não informado
analista de dados sênior,Analista de Dados e Melhoria Contínua Sênior,Shopee,"São Paulo, São Paulo",12 dia(s),Não informado
analista de dados sênior,Analista de Sistemas | Senior,Econet Editora Empresarial,Curitiba,17 dia(s),Não informado
analista de dados sênior,Analista de Crédito SR I Regulatório,Riachuelo,"São Paulo, São Paulo",13 dia(s),Não informado
analista de dados sênior,Analista de Sistemas Sr,Maitha Tech,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista Contábil Sênior,Paraná Banco,Curitiba,3 dia(s),Não informado
analista de dados sênior,Analista de Laboratório Sr,BI Animal Health Brasil Ltda,"Fazenda São Francisco, Piauí",mais de 30 dias,Não informado
analista de dados sênior,Analista de Marketing Sr.,CLOUDGED SOLUCOES INTELIGENTES LTDA,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Departamento Pessoal Pleno,VENHA SER #SANGUELARANJA,"São Paulo, São Paulo",30 dia(s),Não informado
analista de dados sênior,ANALISTA DE E-COMMERCE SÊNIOR,Grupo Comolatti,"São Paulo, São Paulo",12 dia(s),Não informado
analista de dados sênior,Coordenador de RH,"LORIS CONSULTORIA, TREINAMENTO E COACHING","São Paulo, São Paulo",19 dia(s),Não informado
analista de dados sênior,Analista de Infraestrutura de TI - SR,PR CONSULTORIA & PSICOLOGIA LTDA,"Santa Luzia, Minas Gerais",mais de 30 dias,Não informado
analista de dados sênior,Analista de Gestão de Publicidade Sênior | Globoplay,Globo,"Rio de Janeiro, Rio de Janeiro",9 dia(s),Não informado
analista de dados sênior,8910995 | Analista de Desenvolvimento de Portais Liferay SR,Almaviva Solutions,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Testes Sr,Positivo Tecnologia,"Manaus, Amazonas",mais de 30 dias,Não informado
analista de dados sênior,Gestor de trafego - Analista de Mídia Paga,Avalon Broker,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,ANALISTA DE DADOS E INFORMAÇÕES GERENCIAIS SR,Movida Aluguel de Carros,Mogi das Cruzes,19 dia(s),Não informado
analista de dados sênior,Analista de Controladoria SR - FP&A,Elsys,"Valinhos, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Negócios Sr. (São Paulo),Medway,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista Sênior em Mídias Pagas (Remoto),Sioux digital 1:1,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Remuneração e Benefícios,Daki,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Negócios | Senior,Econet Editora Empresarial,Curitiba,14 dia(s),Não informado
analista de dados sênior,Grupo QuintoAndar | Analista de Crédito Imobiliário,Grupo QuintoAndar,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Implantação Sr,BMPTEC,"São Paulo, São Paulo",13 dia(s),Não informado
analista de dados sênior,Analista de Inteligência de Mercado SR,PicPay,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Folha de Pagamento - ABC / SP,Grupo MTC,São Bernardo do Campo,mais de 30 dias,Não informado
analista de dados sênior,Analista de DP / Admissão Sênior,Adecco,"São Paulo, São Paulo",24 dia(s),Não informado
analista de dados sênior,Analista de Marketing (Conteúdo e Growth) PL/SR,Alloyal,"Belo Horizonte, Minas Gerais",24h,Não informado
analista de dados sênior,PESSOA ANALISTA DE EFETIVIDADE SENIOR - CRM,Hypera Pharma,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,SR Data Business Analyst,Zallpy Digital,Trabalho remoto,10 dia(s),Não informado
analista de dados sênior,Analista de Sistemas Fullstack Sênior,"Minerva Foods Tecnologia – Inovação que conecta, tecnologia que transforma.",Trabalho remoto,9 dia(s),Não informado
analista de dados sênior,Analista de Meio Ambiente Sr,CPFL Energia,"São Leopoldo, Rio Grande do Sul",20 dia(s),Não informado
analista de dados sênior,Pessoa Analista de Segurança da Informação SR | LGPD,Livelo,Barueri,11 dia(s),Não informado
analista de dados sênior,Analista de Field Service SR,Computécnica,Indaiatuba,mais de 30 dias,Não informado
analista de dados sênior,Pessoa Analista de Qualidade SR,Arco Educação,Jundiaí,mais de 30 dias,Não informado
analista de dados sênior,Pessoa Analista de Mídias/ Gestor de Tráfego,Webfoco + Pippe,São Caetano do Sul,mais de 30 dias,Não informado
analista de dados sênior,A93A: Analista de Negócios Pleno,mazzatech,"São Paulo, São Paulo",7 dia(s),Não informado
analista de dados sênior,Analista de Marketing de Produto Sr (São Paulo/SP),DUX Company,"São Paulo, São Paulo",mais de 30 dias,Não informado
analista de dados sênior,Analista de Qualidade Sênior,Vast Infraestrutura,São João da Barra,20 dia(s),Não informado
analista de dados sênior,ANALISTA DE CONTROLADORIA SÊNIOR,Emive&CO,"Belo Horizonte, Minas Gerais",mais de 30 dias,Não informado
