busca,titulo,empresa,local,publicado_ha,salario
analista de dados,Pessoa Analista de Integração e Migração Junior,1Doc,Trabalho remoto,9 dia(s),R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Atendimento,AKM,"São Paulo, São Paulo",3 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Testes (remoto),Fóton Informática,Trabalho remoto,mais de 30 dias,R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Suporte Jr - Área Financeiro,GOVERNANÇABRASIL - GOVBR,Trabalho remoto,5 dia(s),R$ 5 mil - R$ 6 mil (fornecido pela empresa)
analista de dados,Analista de Governança de Dados Sênior,Wise Group,Trabalho remoto,17 dia(s),R$ 3 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,[Tecnologia] Analista de Dados Pleno - People Analytics,Contabilizei,Trabalho remoto,mais de 30 dias,R$ 9 mil (fornecido pela empresa)
analista de dados,Analista de Qualidade de Software II,Meta,Trabalho remoto,24h,R$ 2 mil (fornecido pela empresa)
analista de dados,Analista de Compliance Pleno,Conta Azul,Trabalho remoto,7 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Customer Success Júnior,Clicksign,Trabalho remoto,17 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de BI,Log Lab,Trabalho remoto,mais de 30 dias,R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de BI/Dados,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU SA,Contagem,3 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Recursos Humanos,DataHub Analytics,Trabalho remoto,mais de 30 dias,R$ 4 mil (fornecido pela empresa)
analista de dados,Analista Dados Industriais Júnior,Radix Engenharia e Software,Trabalho remoto,13 dia(s),R$ 2 mil - R$ 7 mil (fornecido pela empresa)
analista de dados,Analista de Dados Junior- São Paulo/ SP,Shopee,"São Paulo, São Paulo",mais de 30 dias,R$ 3 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados Jr. - Private Label,MadeiraMadeira,Curitiba,17 dia(s),R$ 8 mil (fornecido pela empresa)
analista de dados,Analista de Dados PL BI - Centro Cooperativo de Tecnologia da Informação (CCTI),Castrolanda Cooperativa Agroindustrial,Trabalho remoto,19 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Negócios Sênior,DECISION TECNOLOGIA DA INFORMAÇÃO LTDA,Trabalho remoto,mais de 30 dias,"R$ 24,00 por hora (fornecido pela empresa)"
analista de dados,Analista de Conteúdo Pleno,Intera,Trabalho remoto,mais de 30 dias,R$ 9 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Diagonal,"São Paulo, São Paulo",4 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,ANALISTA DADOS PLENO,Bernoulli Educação,Trabalho remoto,19 dia(s),R$ 4 mil - R$ 7 mil (fornecido pela empresa)
analista de dados,Analista de Suporte,ECOMICRO LTDA,"Florianópolis, Santa Catarina",3 dia(s),R$ 5 mil - R$ 7 mil (fornecido pela empresa)
analista de dados,Analista de Customer Sucess Junior,Branddi,Trabalho remoto,mais de 30 dias,R$ 5 mil (fornecido pela empresa)
analista de dados,ANALISTA DE DADOS,COMERCIAL ALVORADA DE PRODUTOS PARA LIMPEZA E DESCARTAVEIS L,"Brasília, Distrito Federal",9 dia(s),R$ 5 mil (fornecido pela empresa)
analista de dados,Analista De Servicos Ao Cliente,Unilever,"São Paulo, São Paulo",4 dia(s),R$ 9 mil (fornecido pela empresa)
analista de dados,Analista de Dados Junior,BRAS-ONDA PAPELAO ONDULADO LTDA,Curitiba,mais de 30 dias,R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Grupo Prever Sul,Curitiba,28 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Dados (BI),Aliare,"Cascavel, Paraná",14 dia(s),R$ 6 mil (fornecido pela empresa)
analista de dados,REQ 159398 ANALISTA DE DESENVOLVIMENTO DE SOFTWARE,TOTVS,Trabalho remoto,mais de 30 dias,R$ 3 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Mecânica,Sara Zucoloto,"Congonhas, Minas Gerais",4 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Operações Jr,DOC9,Trabalho remoto,14 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Multiverso das Letras,"São Paulo, São Paulo",24h,R$ 5 mil (fornecido pela empresa)
analista de dados,ANALISTA DE DADOS (VR + VT + Plano Médico) - Jardim São José,Jobbol,Americana,mais de 30 dias,R$ 2 mil - R$ 6 mil (fornecido pela empresa)
analista de dados,Analista de BI Pleno,Unicred,Trabalho remoto,23 dia(s),R$ 3 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Jump,"São Paulo, São Paulo",13 dia(s),R$ 5 mil (fornecido pela empresa)
