busca,titulo,empresa,local,publicado_ha,salario,titulo_tratado,nivel,cidade,estado,remoto,dias_publicado,faixa_dias,regiao,salario_valor,faixa_salarial
especialista em dados,9350407 - CIENTISTA DE DADOS JR,Quality Digital,Trabalho remoto,11 dia(s),R$ 2 mil (fornecido pela empresa),9350407 - cientista de dados jr,junior,,,1.0,11,6 a 15 dias,Desconhecido,2000.0,1k a 5k
especialista em dados,Especialista Dados e Indicadores - People Analytics,008 Banco Santander (Brasil) S.A.,"São Paulo, São Paulo",9 dia(s),R$ 5 mil - R$ 6 mil (fornecido pela empresa),especialista dados e indicadores - people analytics,pleno,São Paulo,SP,0.0,9,6 a 15 dias,Sudeste,5500.0,5k a 10k
especialista em dados,Especialista de Dados (Data Science).,Quod,Trabalho remoto,9 dia(s),R$ 2 mil (fornecido pela empresa),especialista de dados (data science).,especialista,,,1.0,9,6 a 15 dias,Desconhecido,2000.0,1k a 5k
especialista em dados,Analista de Dados,AllEasy,Trabalho remoto,mais de 30 dias,R$ 8 mil (fornecido pela empresa),analista de dados,não informado,,,1.0,31,mais de 30 dias,Desconhecido,8000.0,5k a 10k
especialista em dados,Analista Comercial - Atendimento Veículos,Itaú Unibanco,Trabalho remoto,17 dia(s),R$ 4 mil (fornecido pela empresa),analista comercial - atendimento veiculos,não informado,,,1.0,17,16 a 30 dias,Desconhecido,4000.0,1k a 5k
especialista em dados,Especialista em Treinamento,CABANA BURGER,Barueri,24h,R$ 5 mil - R$ 7 mil (fornecido pela empresa),especialista em treinamento,especialista,Barueri,SP,0.0,1,1 a 5 dias,Sudeste,6000.0,5k a 10k
especialista em dados,Especialista Social Media - Remoto,Nossas Oportunidades,Trabalho remoto,23 dia(s),R$ 8 mil (fornecido pela empresa),especialista social media - remoto,especialista,,,1.0,23,16 a 30 dias,Desconhecido,8000.0,5k a 10k
especialista em dados,Especialista FinOps,Alelo,Barueri,25 dia(s),R$ 4 mil (fornecido pela empresa),especialista finops,especialista,Barueri,SP,0.0,25,16 a 30 dias,Sudeste,4000.0,1k a 5k
especialista em dados,Especialista em Atendimento Receptivo CRA (Grupo Educacional) - Unidade Santana,Atento Brasil,"São Paulo, São Paulo",18 dia(s),R$ 5 mil (fornecido pela empresa),especialista em atendimento receptivo cra (grupo educacional) - unidade santana,especialista,São Paulo,SP,0.0,18,16 a 30 dias,Sudeste,5000.0,1k a 5k
especialista em dados,Especialista em ESG,Casa dos Ventos,"São Paulo, São Paulo",26 dia(s),R$ 5 mil - R$ 6 mil (fornecido pela empresa),especialista em esg,especialista,São Paulo,SP,0.0,26,16 a 30 dias,Sudeste,5500.0,5k a 10k
especialista em dados,Especialista de Prevenção a Fraude,Elo,Barueri,6 dia(s),R$ 3 mil (fornecido pela empresa),especialista de prevencao a fraude,especialista,Barueri,SP,0.0,6,6 a 15 dias,Sudeste,3000.0,1k a 5k
especialista em dados,[Pessoas & Cultura] Especialista em HRBP - Serviços ao Cliente,Contabilizei,Trabalho remoto,5 dia(s),R$ 10 mil - R$ 15 mil (fornecido pela empresa),[pessoas & cultura] especialista em hrbp - servicos ao cliente,especialista,,,1.0,5,1 a 5 dias,Desconhecido,12500.0,10k a 15k
especialista em dados,Especialista em Desenvolvimento Fullstack,TOTVS,Trabalho remoto,mais de 30 dias,R$ 5 mil (fornecido pela empresa),especialista em desenvolvimento fullstack,especialista,,,1.0,31,mais de 30 dias,Desconhecido,5000.0,1k a 5k
especialista em dados,Especialista em banco de dados Oracle,Grupo Easy,"São Paulo, São Paulo",mais de 30 dias,R$ 10 mil (fornecido pela empresa),especialista em banco de dados oracle,especialista,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,10000.0,5k a 10k
especialista em dados,Pessoa Especialista em Análise de Dados,Neurotech,Trabalho remoto,11 dia(s),R$ 8 mil - R$ 9 mil (fornecido pela empresa),pessoa especialista em analise de dados,especialista,,,1.0,11,6 a 15 dias,Desconhecido,8500.0,5k a 10k
especialista em dados,Pessoa Estagiária de Automação de Processos e Dados,CapLink,Trabalho remoto,13 dia(s),R$ 2 mil (fornecido pela empresa),pessoa estagiaria de automacao de processos e dados,não informado,,,1.0,13,6 a 15 dias,Desconhecido,2000.0,1k a 5k
especialista em dados,ESPECIALISTA EM TRATAMENTO DE RECLAMAÇÕES,LESTARS MANAGEMENT CONSULTANCY,"São Paulo, São Paulo",mais de 30 dias,R$ 3 mil (fornecido pela empresa),especialista em tratamento de reclamacoes,especialista,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,3000.0,1k a 5k
especialista em dados,Especialista em Gestão de Estoque- Warehouse,Mococa S/A - Produtos Alimentícios,"Mococa, São Paulo",3 dia(s),R$ 5 mil (fornecido pela empresa),especialista em gestao de estoque- warehouse,especialista,Mococa,SP,0.0,3,1 a 5 dias,Sudeste,5000.0,1k a 5k
especialista em dados,Pessoa Cientista de Dados - Especialista,Grupo OLX,Trabalho remoto,20 dia(s),"R$ 40,22 por hora (fornecido pela empresa)",pessoa cientista de dados - especialista,especialista,,,1.0,20,16 a 30 dias,Desconhecido,,Não informado
